"id","product_name","brand","model","product_type","quantity","created_at","updated_at","code","description","image_url"
"21","Camera G5 Dome Ultra / B","UNIFI","UVC-G5-Dome-Ultra-B","Camera","0","2024-09-25 12:25:36","2024-10-01 12:05:20","810084694213","Ultra-compact and tamper-resistant 2K HD PoE camera with night vision designed for low-profile indoor security.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Fc2eb7a6f-7d6a-4b84-b1bd-7dc54e26c4e2%2F6417969a-f091-4db6-a8dc-7f7226e5968c.png&q=75&w=3840"
"22","Camera G4 Pro","UNIFI","UVC-G4-PRO","Camera","0","2024-09-25 12:31:50","2024-10-01 12:05:20","0","4K night-vision camera designed for long-range, indoor and outdoor surveillance.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F952638fe-6e9d-4e43-aa39-790b7712c11c%2F9ed82ebf-e315-4549-97dd-2391dbe6fd2c.png&q=75&w=3840"
"23","Camera G4 Bullet","UNIFI","UVC-G4-BULLET","Camera","0","2024-09-25 12:32:41","2024-10-01 12:05:20","12345678905","Indoor/outdoor PoE camera designed to provide optimal nighttime surveillance.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F0152e6dc-5701-49e2-bff7-dc87321742a8%2F4b567c26-501f-4afb-8944-35e09609d096.png&q=75&w=3840"
"24","Camera G4 Dome","UNIFI","UVC-G4-DOME","Camera","0","2024-09-25 12:33:38","2024-10-01 12:05:20","671860013525","High-resolution PoE camera designed for overhead and wide-area surveillance.","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Feb76b35c-fa0a-4418-a876-643e5c3a31b7%2Ffb1fd2ac-8785-4019-a16f-e3bf374f76aa.png&q=75&w=3840"
"25","Switch Aggregation","UNIFI","USW-Aggregation","Switch","0","2024-09-30 11:49:08","2024-10-01 12:05:20","0","0","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F1c748fb1-b4df-43ef-83e0-d5ed26f9db7c%2F62a5034c-8fc5-482c-8cda-836f0e9c6533.png&q=75&w=3840"
"26","Switch Hi-Capacity Aggregation","UNIFI","USW-Pro-Aggregation","Switch","0","2024-09-30 11:51:59","2024-10-01 12:05:20","0","0","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F35879d83-6169-4d6b-abf6-d3b98b1e8367%2F69f12d23-12a4-4094-a0a8-4cd5bfd1440a.png&q=75&w=3840"
"28","Switch Flex Mini","UNIFI","USW-Flex-Mini","Switch","0","2024-09-30 12:02:41","2024-10-01 12:04:58","0","0","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2F5a176b22-af34-40f2-820c-958610df1825%2F53b18060-26ad-4376-b33d-0522ff4cc3fb.png&q=75&w=3840"
"29","Switch Flex (46w)","UNIFI","USW-Flex","Switch","0","2024-09-30 12:04:50","2024-10-01 12:05:20","0","0","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Fc9a07d37-b390-4a5b-89c5-3cdab8e011c7%2Fb9dc2928-1bdd-49a7-a465-e2dc7ee5de97.png&q=75&w=3840"
"32","Switch Industrial (430w)","UNIFI","USW-Industrial","Switch","0","2024-09-30 12:30:39","2024-10-01 10:53:53","0","0","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Fe9c1cd60-bc9d-4e80-9e17-7a3dbecf9f29%2Fcd3da8c5-3af0-4655-abb2-8ba4b1ace37d.png&q=75&w=3840"
"33","Switch Standard 16 PoE (42w)","UNIFI","USW-16-PoE","Switch","0","2024-09-30 12:33:13","2024-10-01 10:54:38","0","0","https://images.svc.ui.com/?u=https%3A%2F%2Fcdn.ecomm.ui.com%2Fproducts%2Fab04370e-f45d-4651-828c-b290de8df45b%2F0a115833-79cf-45e6-8b9d-89ece81c355a.png&q=75&w=3840"
